0000635STBLXXXX001,0273361STRFXXXX001,0273792STRFXXXX001,432
0000903STBLXXXX001,0389137STRFXXXX001,0389568STRFXXXX001,432
0000997STBLXXXX001,0429745STRFXXXX001,0430176STRFXXXX001,432
0000293STBLXXXX001,0125617STRFXXXX001,0126048STRFXXXX001,432
0000487STBLXXXX001,0209425STRFXXXX001,0209856STRFXXXX001,432
0001121STBLXXXX001,0483313STRFXXXX001,0483744STRFXXXX001,432
0000426STBLXXXX001,0183073STRFXXXX001,0183504STRFXXXX001,432
0000734STBLXXXX001,0316129STRFXXXX001,0316560STRFXXXX001,432
0000417STBLXXXX001,0179185STRFXXXX001,0179616STRFXXXX001,432
0000377STBLXXXX001,0161905STRFXXXX001,0162336STRFXXXX001,432
0000511STBLXXXX001,0219793STRFXXXX001,0220224STRFXXXX001,432
0001196STBLXXXX001,0515713STRFXXXX001,0516144STRFXXXX001,432
0000773STBLXXXX001,0332977STRFXXXX001,0333408STRFXXXX001,432
0000447STBLXXXX001,0192145STRFXXXX001,0192576STRFXXXX001,432
0000428STBLXXXX001,0183937STRFXXXX001,0184368STRFXXXX001,432
0000627STBLXXXX001,0269905STRFXXXX001,0270336STRFXXXX001,432
0000982STBLXXXX001,0423265STRFXXXX001,0423696STRFXXXX001,432
0000440STBLXXXX001,0189121STRFXXXX001,0189552STRFXXXX001,432
0000282STBLXXXX001,0120865STRFXXXX001,0121296STRFXXXX001,432
0001069STBLXXXX001,0460849STRFXXXX001,0461280STRFXXXX001,432
0000756STBLXXXX001,0325633STRFXXXX001,0326064STRFXXXX001,432
0000288STBLXXXX001,0123457STRFXXXX001,0123888STRFXXXX001,432
0000642STBLXXXX001,0276385STRFXXXX001,0276816STRFXXXX001,432
0000895STBLXXXX001,0385681STRFXXXX001,0386112STRFXXXX001,432
0000788STBLXXXX001,0339457STRFXXXX001,0339888STRFXXXX001,432
0000749STBLXXXX001,0322609STRFXXXX001,0323040STRFXXXX001,432
0000689STBLXXXX001,0296689STRFXXXX001,0297120STRFXXXX001,432
0001187STBLXXXX001,0511825STRFXXXX001,0512256STRFXXXX001,432
0000407STBLXXXX001,0174865STRFXXXX001,0175296STRFXXXX001,432
0001036STBLXXXX001,0446593STRFXXXX001,0447024STRFXXXX001,432
0000553STBLXXXX001,0237937STRFXXXX001,0238368STRFXXXX001,432
0000573STBLXXXX001,0246577STRFXXXX001,0247008STRFXXXX001,432
0000555STBLXXXX001,0238801STRFXXXX001,0239232STRFXXXX001,432
0000322STBLXXXX001,0138145STRFXXXX001,0138576STRFXXXX001,432
0000646STBLXXXX001,0278113STRFXXXX001,0278544STRFXXXX001,432
0000727STBLXXXX001,0313105STRFXXXX001,0313536STRFXXXX001,432
0001132STBLXXXX001,0488065STRFXXXX001,0488496STRFXXXX001,432
0000571STBLXXXX001,0245713STRFXXXX001,0246144STRFXXXX001,432
0000304STBLXXXX001,0130369STRFXXXX001,0130800STRFXXXX001,432
0000303STBLXXXX001,0129937STRFXXXX001,0130368STRFXXXX001,432
0000498STBLXXXX001,0214177STRFXXXX001,0214608STRFXXXX001,432
0000581STBLXXXX001,0250033STRFXXXX001,0250464STRFXXXX001,432
0001195STBLXXXX001,0515281STRFXXXX001,0515712STRFXXXX001,432
0000697STBLXXXX001,0300145STRFXXXX001,0300576STRFXXXX001,432
0000612STBLXXXX001,0263425STRFXXXX001,0263856STRFXXXX001,432
0000917STBLXXXX001,0395185STRFXXXX001,0395616STRFXXXX001,432
0000492STBLXXXX001,0211585STRFXXXX001,0212016STRFXXXX001,432
