1,0000635STBLXXXX001,0273361STRFXXXX001
2,0000903STBLXXXX001,0389137STRFXXXX001
3,0000997STBLXXXX001,0429745STRFXXXX001
4,0000293STBLXXXX001,0125617STRFXXXX001
5,0000487STBLXXXX001,0209425STRFXXXX001
6,0001121STBLXXXX001,0483313STRFXXXX001
7,0000426STBLXXXX001,0183073STRFXXXX001
8,0000734STBLXXXX001,0316129STRFXXXX001
9,0000417STBLXXXX001,0179185STRFXXXX001
10,0000377STBLXXXX001,0161905STRFXXXX001
11,0000511STBLXXXX001,0219793STRFXXXX001
12,0001196STBLXXXX001,0515713STRFXXXX001
13,0000773STBLXXXX001,0332977STRFXXXX001
14,0000447STBLXXXX001,0192145STRFXXXX001
15,0000428STBLXXXX001,0183937STRFXXXX001
16,0000627STBLXXXX001,0269905STRFXXXX001
17,0000982STBLXXXX001,0423265STRFXXXX001
18,0000440STBLXXXX001,0189121STRFXXXX001
19,0000282STBLXXXX001,0120865STRFXXXX001
20,0001069STBLXXXX001,0460849STRFXXXX001
21,0000756STBLXXXX001,0325633STRFXXXX001
22,0000288STBLXXXX001,0123457STRFXXXX001
23,0000642STBLXXXX001,0276385STRFXXXX001
24,0000895STBLXXXX001,0385681STRFXXXX001
25,0000788STBLXXXX001,0339457STRFXXXX001
26,0000749STBLXXXX001,0322609STRFXXXX001
27,0000689STBLXXXX001,0296689STRFXXXX001
28,0001187STBLXXXX001,0511825STRFXXXX001
29,0000407STBLXXXX001,0174865STRFXXXX001
30,0001036STBLXXXX001,0446593STRFXXXX001
31,0000553STBLXXXX001,0237937STRFXXXX001
32,0000573STBLXXXX001,0246577STRFXXXX001
33,0000555STBLXXXX001,0238801STRFXXXX001
34,0000322STBLXXXX001,0138145STRFXXXX001
35,0000646STBLXXXX001,0278113STRFXXXX001
36,0000727STBLXXXX001,0313105STRFXXXX001
37,0001132STBLXXXX001,0488065STRFXXXX001
38,0000571STBLXXXX001,0245713STRFXXXX001
39,0000304STBLXXXX001,0130369STRFXXXX001
40,0000303STBLXXXX001,0129937STRFXXXX001
41,0000498STBLXXXX001,0214177STRFXXXX001
42,0000581STBLXXXX001,0250033STRFXXXX001
43,0001195STBLXXXX001,
44,0000697STBLXXXX001,0300145STRFXXXX001
45,0000612STBLXXXX001,
46,0000917STBLXXXX001,0395185STRFXXXX001
47,0000492STBLXXXX001,0211585STRFXXXX001
48,0001080STBLXXXX001,0465601STRFXXXX001
49,0000662STBLXXXX001,0285025STRFXXXX001
50,0000807STBLXXXX001,0347665STRFXXXX001
51,0000588STBLXXXX001,0253057STRFXXXX001
52,0000316STBLXXXX001,0135553STRFXXXX001
53,0000532STBLXXXX001,0228865STRFXXXX001
54,0001125STBLXXXX001,0485041STRFXXXX001
55,0000592STBLXXXX001,0254785STRFXXXX001
56,0000890STBLXXXX001,0383521STRFXXXX001
57,0000901STBLXXXX001,0388273STRFXXXX001
58,0001184STBLXXXX001,0510529STRFXXXX001
59,0000311STBLXXXX001,0133393STRFXXXX001
60,0000427STBLXXXX001,0183505STRFXXXX001
61,0000629STBLXXXX001,0270769STRFXXXX001
62,0001146STBLXXXX001,0494113STRFXXXX001
63,0001141STBLXXXX001,0491953STRFXXXX001
64,0000505STBLXXXX001,0217201STRFXXXX001
65,0000786STBLXXXX001,0338593STRFXXXX001
66,0001100STBLXXXX001,0474241STRFXXXX001
67,0000798STBLXXXX001,0343777STRFXXXX001
68,0000852STBLXXXX001,0367105STRFXXXX001
69,0000547STBLXXXX001,0235345STRFXXXX001
70,0000904STBLXXXX001,0389569STRFXXXX001
71,0000825STBLXXXX001,0355441STRFXXXX001
72,0000747STBLXXXX001,0321745STRFXXXX001
73,0000733STBLXXXX001,0315697STRFXXXX001
74,0000830STBLXXXX001,0357601STRFXXXX001
75,0000794STBLXXXX001,0342049STRFXXXX001
76,0000893STBLXXXX001,0384817STRFXXXX001
77,0000874STBLXXXX001,0376609STRFXXXX001
78,0000736STBLXXXX001,0316993STRFXXXX001
79,0000983STBLXXXX001,0423697STRFXXXX001
80,0000705STBLXXXX001,0303601STRFXXXX001
81,0000323STBLXXXX001,0138577STRFXXXX001
82,0001162STBLXXXX001,0501025STRFXXXX001
83,0001008STBLXXXX001,0434497STRFXXXX001
84,0000374STBLXXXX001,0160609STRFXXXX001
85,0000281STBLXXXX001,0120433STRFXXXX001
86,0000670STBLXXXX001,0288481STRFXXXX001
87,0000835STBLXXXX001,0359761STRFXXXX001
88,0000867STBLXXXX001,0373585STRFXXXX001
89,0000954STBLXXXX001,0411169STRFXXXX001
90,0001130STBLXXXX001,0487201STRFXXXX001
91,0000305STBLXXXX001,0130801STRFXXXX001
92,0000381STBLXXXX001,0163633STRFXXXX001
93,0000411STBLXXXX001,0176593STRFXXXX001
94,0001197STBLXXXX001,0516145STRFXXXX001
95,0000714STBLXXXX001,0307489STRFXXXX001
